1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217
2,1,0.045134753,0.312486402,0.203127355,0.27089682,0.489528894,0.397804523,0.460095515,0.528803592,0.78435218,0.068607261,0.78435218,0,0.117310463,0.467683445,0.445148779,0.368878886,0.287510823,0.040465156,0.236179024,0.218682107,0,0.075518973,0,0.0759167,0,0.223765281,0,0,0.048888396,0.031279075,0.024574408,0.030969635,0.367531113,0.085514072,0.47572931,0.288653851,0.185025145,0.225343594,0.107137737,0.540842183,0.598435576,0.130016457,0,0.062924151,0.177603481,0.035833702,0,0.038112814,0.015323019,0.015082113,0,0.025044388,0,0,0.020403853,0.032979597,0.01479644,0,0,0,0.083669329,0.030293325,0.030293325,0,0.02535229,0.014783847,0,0.09487634,0.012773045,0.014112813,0,0.035123048,0.058982064,0.02535229,0.025651249,0.016824172,0.026386936,0.016761035,0,0,0,0,0,0.131037412,0.017267328,0.012686031,0,0.00957543,0.15305752,0.041563024,0,0.007474878,0,0.025231012,0.020311683,0,0,0.038079088,0.015243653,0,0.038079088,0.037306878,0.077110209,0.025799284,0.147333747,0.092848974,0.045046396,0.078593062,0.078593062,0.078593062,0,0,0.076107498,0,0.013447077,0,0,0.028918216,0.032157161,0.031856497,0.035957306,0.075985695,0.113878222,0.039359809,0.114246304,0.099663285,0,0,0.038576652,0,0,0.031609329,0.033379152,0,0,0.03603863,0,0,0,0,0,0,0,0,0,0.013543945,0,0,0,0.015441323,0.049672055,0,0,0.04667938,0.009533844,0,0,0,0,0,0.047567221,0.026879136,0,0,0,0,0.01351278,0,0.027409793,0.027338252,0.027409793,0,0.011581652,0.03946218,0.009600677,0,0,0,0.025031776,0.025031776,0,0,0,0,0,0.015441323,0.015441323,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00961449,0.005272632,0,0.011625073,0,0,0,0,0,0,0,0,0,0.013563392,0
3,0.045134753,1,0.089198287,0.0159962,0.115367329,0.104921985,0.068554188,0.097858754,0.035142926,0,0,0,0,0,0.103733425,0.086353,0,0.150296071,0,0.046618707,0.034921573,0,0,0,0,0,0.034545469,0,0,0.014347552,0.074132078,0,0.061350546,0.032419205,0.102016107,0.115370138,0,0.086564455,0.05185683,0,0.054431914,0.110419461,0.058398043,0,0,0,0,0,0.086238425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069891781,0.117817805,0,0,0.136420384,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056148675,0,0,0.259975767,0,0,0,0.153831689,0.103662625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083766418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046907165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054401491,0,0,0,0.054991332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054763285,0,0,0,0,0,0,0.109039112,0.109039112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078672834,0
4,0.312486402,0.089198287,1,0.146975528,0.645617483,0.2616086,0.190473375,0.463090605,0.378740796,0.415559265,0,0.415559265,0,0,0.278110738,0.261015219,0.369895849,0.380135927,0,0.637280078,0.05941589,0,0.121385641,0,0,0,0.052787842,0,0,0,0,0,0,0.303981782,0.108202562,0.325172119,0.254889376,0.584237933,0.389604683,0.083845776,0.436194063,0.484950569,0.144964387,0,0.099587057,0.092023755,0.11038472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083496304,0,0,0,0,0,0,0.087922333,0.075717143,0,0,0.10390832,0.103039236,0,0,0,0,0,0,0,0,0,0,0.10067676,0,0,0,0,0.082992672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223874144,0.132964828,0.143588181,0.136018351,0.136018351,0.136018351,0,0,0.096551336,0,0,0,0,0,0,0,0,0.123696895,0.2246754,0,0.103911935,0.10418883,0,0,0,0,0,0.083454011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108129567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.203127355,0.0159962,0.146975528,1,0.128423291,0.335592211,0.167574688,0.241339995,0.226654635,0.210142664,0,0.210142664,0,0,0.202401259,0.190808576,0.166698892,0.084879034,0,0.105400262,0,0,0.049784463,0,0,0,0,0,0,0.023276794,0.007159076,0,0,0.211912252,0.098038451,0.18651527,0.112262203,0.08646524,0.071684237,0.041339163,0.223318733,0.220871214,0.006865295,0,0,0.043354589,0.023573587,0,0.025209153,0,0.003374701,0,0,0,0,0,0.012194804,0.012077006,0,0,0,0,0,0,0,0,0,0,0.017840722,0,0.004589575,0,0.023263928,0,0,0,0,0,0,0,0,0,0,0,0.071950435,0,0,0,0,0.031316512,0,0,0,0.009515004,0,0,0,0,0.025194393,0,0,0.025194393,0,0,0,0.052318172,0.051472868,0.029471428,0.051726097,0.051726097,0.051726097,0,0,0,0,0,0,0,0.018883186,0,0,0.042287126,0.049986868,0.050278446,0,0.044608514,0.044635072,0,0,0,0,0,0.009028029,0.021844631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00684361,0,0,0,0,0,0.018684725,0,0,0,0,0,0,0,0,0,0,0,0.025792503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.27089682,0.115367329,0.645617483,0.128423291,1,0.247411535,0.174346419,0.305293209,0.315057866,0.330625042,0.089570537,0.330625042,0,0,0.254092624,0.23360582,0.151202324,0.346757959,0,0.421943675,0.057975894,0,0,0,0.085629814,0,0.05151858,0,0,0,0,0,0,0.211422691,0.145787609,0.272853394,0.084140465,0.567947397,0.203704928,0.08100647,0.317245157,0.415209063,0.140992874,0,0.17958845,0.163434741,0.106299184,0,0,0,0,0,0,0,0,0,0.153826836,0.053039112,0.031518412,0,0,0.081039541,0,0,0,0,0,0,0.113091,0.073132744,0,0,0.100280248,0.099323428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081317272,0.068576421,0,0,0,0,0,0,0,0,0,0,0,0,0.084004069,0,0.30366179,0.128168413,0.138010796,0.131003263,0.131003263,0.131003263,0,0,0.093281305,0,0,0,0,0,0,0,0,0,0.104408801,0,0.19229204,0.192786505,0,0,0.034968347,0,0,0.146057521,0,0,0,0,0,0,0.064826457,0,0,0,0,0,0,0,0,0.03341328,0.086666429,0,0.104044832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.489528894,0.104921985,0.2616086,0.335592211,0.247411535,1,0.578147704,0.319661133,0.499550593,0.437113695,0.038460122,0.437113695,0,0.080340328,0.562344429,0.550244191,0.300713795,0.312414145,0.024627215,0.200759328,0.046207866,0,0.046580493,0.008535014,0.036279423,0.008523303,0.031544145,0,0.017653274,0.081206175,0.035300279,0.013937486,0.043451515,0.340484301,0.208037883,0.496268224,0.231255542,0.149344558,0.179123882,0.076592068,0.381726305,0.443744435,0.088425374,0,0.025871608,0.102464875,0.031468955,0,0.021551226,0,0,0,0.01408742,0,0,0.022817546,0.03930881,0.010320323,0.040117834,0.012430438,0,0.058028016,0.026387195,0.026387195,0,0.01418432,0.006272087,0,0.051212758,0.025048858,0.012068621,0,0.025056045,0.014048143,0.01418432,0.014277419,0.009430384,0.009476896,0.020759664,0,0.013738263,0.017944884,0.017847314,0,0.090487319,0.009568026,0.011125063,0.011337094,0,0.164129275,0.014797398,0.004147724,0.004142427,0.045535102,0.025515655,0.035464668,0.008545913,0.034989875,0.047696694,0.01426235,0.01426235,0.047696694,0,0.043642611,0.014323164,0.084151379,0.052338296,0.025117641,0.044158324,0.044158324,0.044158324,0.005318347,0.008552703,0.028351602,0,0,0.008552703,0,0.01608493,0.043904581,0.042802068,0.038955833,0.042667979,0.06450265,0.021944355,0.064716614,0.056433836,0.002924739,0.009568026,0.006371494,0.009391207,0,0.025907611,0.018619081,0.005298913,0,0.008407488,0.008552703,0,0.011510988,0.002890999,0,0,0,0,0,0,0.004147724,0,0.012766082,0,0,0,0,0.015372703,0,0,0,0,0,0,0.011431508,0.018815908,0,0,0.01242175,0,0,0,0,0,0,0.005306373,0,0.021976139,0.005314118,0,0,0,0,0,0,0,0,0,0.02146763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.397804523,0.068554188,0.190473375,0.167574688,0.174346419,0.578147704,1,0.247286079,0.408526187,0.348657819,0.025566547,0.348657819,0,0.061398709,0.491824978,0.500659177,0.19382784,0.214749102,0.016356002,0.145975094,0.041243672,0,0.028318776,0.005648793,0.036828861,0.005643661,0.056702853,0.012899639,0.031674796,0.087856431,0.044403323,0.009311688,0.023430904,0.243734333,0.132164455,0.388006515,0.158075717,0.101329659,0.131936934,0.045721708,0.281837392,0.328689239,0.100996899,0.003854489,0.033715493,0.068974216,0.026526388,0,0.024700031,0.005640583,0.005607612,0.017802005,0.027096903,0.004965627,0.017815335,0.021282329,0.023421145,0.024547698,0.028679387,0,0,0.076709719,0.011211234,0.011211234,0.016259257,0.022298215,0.029992222,0.012937938,0.076026107,0.029453788,0.044661764,0.012937938,0.030196738,0.03495018,0.022298215,0.009462203,0.010001831,0.00348834,0.011751815,0.011186961,0.020265983,0.013233493,0.015899183,0.016753198,0.049161199,0,0.040498193,0.011743508,0.00192809,0.145514622,0,0.002742626,0.002740309,0.017564896,0.009404424,0.020854092,0.005653566,0.0199422,0.017824724,0,0,0.017824724,0,0.039050518,0.009482274,0.05639514,0.034874848,0.016659081,0.029383069,0.029383069,0.029383069,0,0.005656536,0.051210734,0.006329137,0.006313473,0.005656536,0,0.010657063,0.044778213,0.018965131,0.023988949,0.028384152,0.043070141,0.016472162,0.043214598,0.04254947,0,0.006329137,0.010044364,0.018526699,0.016119634,0.077186183,0.017285905,0.002737817,0,0.009987711,0,0,0.007620671,0,0,0,0,0,0.014928888,0,0.002742626,0,0.008462573,0,0.0177896,0,0,0.023078687,0,0.003508708,0,0,0,0,0.017621663,0.020600314,0,0,0.002729901,0,0,0.029922442,0.010079401,0.011992478,0.010079401,0.003510248,0,0.014567701,0,0,0,0,0,0,0.004958827,0.004965627,0,0,0.023812074,0,0,0,0,0.002740693,0,0,0,0,0,0,0,0.006985707,0.006985707,0,0,0.002742864,0.003512093,0.004253367,0,0.001932497,0,0,0,0,0,0,0,0,0
9,0.460095515,0.097858754,0.463090605,0.241339995,0.305293209,0.319661133,0.247286079,1,0.493898972,0.587601434,0,0.587601434,0,0.074101609,0.379763875,0.34648881,0.627840607,0.243715927,0,0.331792527,0.061360485,0,0.17545243,0,0,0,0,0,0,0,0.03869919,0,0,0.540578927,0.139254244,0.511660645,0.398407319,0.218594319,0.368438568,0.139944804,0.69753094,0.615208127,0,0,0,0.218491139,0.083931015,0,0.129175515,0,0,0,0,0,0,0,0.077571636,0,0,0,0,0.052022027,0,0,0,0,0,0,0.09489747,0,0,0,0.080133404,0,0,0,0,0,0,0,0,0,0,0,0.228912348,0,0,0,0,0.200585509,0,0,0,0,0,0,0,0,0.087238811,0,0,0.087238811,0,0,0,0.328172029,0.180609048,0.107846896,0.183765721,0.183765721,0.183765721,0,0,0,0,0,0,0,0.06977694,0,0,0.151437215,0.17799242,0.25988264,0.094265967,0.227181433,0.227648004,0,0,0,0,0,0,0.079818961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067141716,0,0,0,0,0,0,0,0,0,0,0,0.094855298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04646426,0.04646426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.528803592,0.035142926,0.378740796,0.226654635,0.315057866,0.499550593,0.408526187,0.493898972,1,0.560307144,0.071596472,0.560307144,0,0.111083473,0.478715303,0.451868128,0.470912129,0.322913339,0.019479658,0.302733788,0.099217893,0,0.078775214,0,0.030773843,0,0.079618287,0.036347712,0.015358287,0.094030959,0.020348188,0.082571324,0,0.379154462,0.139081925,0.449105734,0.28299213,0.239249116,0.26630834,0.125109041,0.47390293,0.552715049,0.120585851,0,0.110025128,0.184822403,0.037388641,0.016109305,0.055101006,0.032008694,0.043311936,0.0361829,0.061836983,0,0.036259124,0,0.034415357,0.035423441,0.022929868,0.037337108,0.014171945,0.093938365,0.049383666,0.049383666,0.035553403,0.0626305,0.035392002,0.03665344,0.143746164,0.071328175,0.053876405,0.03665344,0.07172944,0.097044011,0.0626305,0.038772386,0.071123209,0.043507244,0.042940892,0.019668083,0.019421062,0.037287308,0.036910005,0.019460417,0.175279531,0.018040558,0.031829355,0,0,0.155354711,0,0,0,0.016359213,0,0.025452916,0.016109305,0.078513228,0.103260669,0.026734894,0.042652681,0.103260669,0,0.107767367,0.026949382,0.153471244,0.096841436,0.047034062,0.081998882,0.081998882,0.081998882,0,0.016133449,0.061732847,0,0,0.016133449,0,0.030201667,0.027256642,0.011356618,0.06715826,0.079283188,0.118718643,0.041097017,0.119101382,0.103902605,0,0,0,0,0.045533606,0.073881505,0.034850689,0,0,0,0,0.012128975,0,0,0,0,0.007851919,0,0.028078176,0,0,0,0,0,0.036112153,0,0.005530955,0,0,0.009991624,0,0,0,0,0,0.02969717,0,0,0.023299894,0,0,0.032724792,0,0,0,0,0.01209979,0.041208637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0.78435218,0,0.415559265,0.210142664,0.330625042,0.437113695,0.348657819,0.587601434,0.560307144,1,0.104364088,1,0,0.138059097,0.492797991,0.453979372,0.470220256,0.319358472,0.038681806,0.330225455,0,0,0.114286048,0,0.044535855,0,0.015628886,0,0,0.069334728,0.04631873,0,0,0.41691203,0.110398174,0.542160099,0.357561203,0.267131846,0.294744829,0.138432577,0.677462749,0.734315568,0.161117203,0,0.094544426,0.261383012,0.054399365,0,0.05738967,0,0,0,0,0,0,0.031132786,0.050147783,0,0,0,0,0.121964729,0.046348141,0.046348141,0,0,0,0,0.100503257,0,0.020807953,0,0.052778216,0.051474358,0,0,0,0,0,0,0,0,0,0,0.15651694,0,0,0,0,0.141291681,0,0,0,0,0.038373933,0,0,0,0.057313234,0,0,0.057313234,0,0.07884569,0,0.219304157,0.117896043,0.06896219,0.119233012,0.119233012,0.119233012,0,0,0.113751241,0,0,0,0,0,0.048270573,0.04759626,0.054684738,0.115358341,0.171138757,0.060264664,0.149627002,0.149829251,0,0,0,0,0,0.046072853,0.051077473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052714057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060504988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
