,0,1,2
0,56,11,1
1,2083,34,1
2,135,133,1
3,1240,31,0
4,1905,6,1
5,1176,3,1
6,1539,3,1
7,815,27,0
8,357,5,1
9,494,34,1
10,554,6,1
11,39,17,1
12,472,102,0
13,1449,102,0
14,2148,33,1
15,602,14,1
16,2144,6,1
17,513,16,1
18,1680,6,1
19,1544,3,1
20,497,58,0
21,2000,34,1
22,1180,122,0
23,82,92,1
24,707,125,0
25,2152,14,1
26,37,101,0
27,719,72,1
28,91,7,1
29,441,15,1
30,930,3,1
31,36,8,1
32,131,70,1
33,2164,158,0
34,1442,3,1
35,846,86,1
36,129,212,0
37,1555,14,0
38,1312,3,1
39,193,195,0
40,1728,80,0
41,1556,116,0
42,240,56,0
43,417,26,0
44,78,159,0
45,353,157,0
46,134,6,1
47,85,5,1
48,901,14,1
49,1028,108,0
50,219,0,1
51,2093,190,0
52,737,6,1
53,796,90,1
54,708,77,0
55,850,191,0
56,641,46,0
57,149,4,1
58,887,7,0
59,1548,213,0
60,1061,3,1
61,1570,3,1
62,1598,48,1
63,25,26,1
64,311,20,1
65,129,78,1
66,37,56,1
67,1861,182,0
68,1563,180,0
69,2070,14,1
70,272,6,1
71,1080,3,1
72,1324,173,0
73,1107,52,0
74,41,8,1
75,2108,106,0
76,57,5,1
77,964,124,0
78,1627,6,1
79,450,148,0
80,443,66,1
81,993,57,0
82,1609,91,0
83,2184,6,1
84,2007,161,0
85,420,41,0
86,882,10,0
87,245,6,1
88,114,190,0
89,337,134,1
90,1262,213,0
91,728,136,1
92,576,6,1
93,1734,178,0
94,1305,60,0
95,1054,109,0
96,1568,20,0
97,1892,139,0
98,1050,190,0
99,92,84,1
100,981,190,0
101,111,20,1
102,1622,178,0
103,102,83,0
104,2009,64,0
105,2185,91,0
106,326,5,1
107,219,77,0
108,977,3,1
109,1910,32,0
110,2219,6,1
111,2146,14,1
112,1036,160,0
113,1155,42,0
114,2059,15,1
115,1851,20,0
116,1858,7,0
117,393,199,0
118,1556,3,1
119,2182,72,0
120,1672,204,0
121,1857,177,0
122,404,14,1
123,1022,3,1
124,1957,14,1
